y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
2000;Vestas;1684 Tolvmanstegen 11;Tolvman A9i 90/105 111216;5200;5725 6116 6772 6772 99;5 898 100 0;;;;;;;;;;;;
2000;Vestas;1685 Tolvmanstegen 12;Tolvman A9i 90/105 120315;5200;5224 5594 6195 6195 99;7 823 100 0;;;;;;;;;;;;
2000;Vestas;1686 Tolvmanstegen 13;Tolvman A9i 90/105 120315;5200;5711 5943 6675 6675 99;4 893 100 0;;;;;;;;;;;;
2000;Vestas;1687 Tolvmanstegen 14;Tolvman A9i 90/105 120315;5200;5613 5927 6722 6722 99;7 863 99 0;;;;;;;;;;;;
2000;Vestas;1688 Tolvmanstegen 15;Tolvman A9i 90/105 120315;5200;5695 5895 6696 6696 99;6 864 99 0;;;;;;;;;;;;
2000;Vestas;1689 Tolvmanstegen 16;Tolvman A9i 90/105 120315;5200;5677 6140 6751 6751 99;7 888 100 0;;;;;;;;;;;;
2000;Vestas;1690 Tolvmanstegen 17;Tolvman A9i 90/105 120410;5200;5757 6072 6802 6802 99;6 893 100 0;;;;;;;;;;;;
2000;Vestas;1691 Tolvmanstegen 19;Tolvman A9i 90/105 120416;5200;5844 6009 6878 6878 99;8 915 100 0;;;;;;;;;;;;
2000;Vestas;1692 Tolvmanstegen 21;Tolvman A9i 90/105 120423;5200;5859 6201 6863 6863 99;4 896 100 0;;;;;;;;;;;;
2000;Vestas;1693 Tolvmanstegen 22;Tolvman A9i 90/105 120410;5200;6030 6424 7107 7107 99;7 925 99 0;;;;;;;;;;;;
2000;Vestas;1694 Tolvmanstegen 23;Tolvman A9i 90/105 120410;5200;5919 6216 6960 6960 99;7 922 100 0;;;;;;;;;;;;
2000;Vestas;1695 Tolvmanstegen 24;Tolvman A9i 90/105 120322;5200;5716 6046 6584 6584 99;4 861 97 0;;;;;;;;;;;;
2000;Enercon;1696 Lyby 3;Lyby D2g 82/78 110831;5200;4835 5500 6049 6049 99;8 802 96 0;;;;;;;;;;;;
2000;Enercon;1700 Hörby Gård;Mjällby E3b 82/98 120531;;5655 6211 7012 7012 99;1 894 98 13;;;;;;;;;;;;
2000;Vestas;1701 Härjevad 1;Lidköping C8f 90/95 110701;5500;5885 6049 7373 7373 98;1 912 93 48;;;;;;;;;;;;
2000;Vestas;1702 Härjevad 2;Lidköping C8f 90/95 110701;5500;5920 5883 7273 7273 97;9 895 93 47;;;;;;;;;;;;
2000;Vestas;1710 Nyvallsåsen 1;Bergsjö H16g 90/105 120930;5900;7337 6331 8231 8231 99;3 1116 98 0;;;;;;;;;;;;
2000;Vestas;1711 Nyvallsåsen 2;Bergsjö H16g 90/105 120929;5900;7072 6011 7869 7869 99 1040 92 43;;;;;;;;;;;;;
2000;Vestas;1717 Skallmeja-Elvingsgården;Sk C8f 90/95 121026;5400;5816 5622 6358 6358 96;7 756 94 2;;;;;;;;;;;;
2000;Vestas;1718 Brännåsen 1; NV;Bergsjö H16d 90/105 120822;6631;6714 6043 7748 7748 99;1 989 96 22;;;;;;;;;;;
2000;Vestas;1719 Brännåsen 2; SV;Bergsjö H16d 90/105 121010;6554;6593 5923 7341 7341 98;3 925 90 63;;;;;;;;;;;
2000;Vestas;1720 Brännåsen 3; NO;Bergsjö H16d 90/105 121010;6357;6563 5618 7325 7325 99;4 955 98 2;;;;;;;;;;;
2000;Vestas;1721 Brännåsen 4; SO;Bergsjö H16d 90/105 121010;6400;6693 5896 7565 7565 98;2 1007 98 3;;;;;;;;;;;
2000;Enercon;1722 Tejarp 1;Klågerup C2f 82/78 120522;5400;4943 5345 6029 6029 98;8 836 97 13;;;;;;;;;;;;
2000;Enercon;1723 Tejarp 2;Klågerup C2f 82/78 120524;5400;5224 5751 6398 6398 98;1 878 98 7;;;;;;;;;;;;
2000;Enercon;1736 Vara Badene 1;Kvänum C8c 82/98 121005;5500;5446 5412 6681 6681 98;4 870 98 8;;;;;;;;;;;;
2000;Enercon;1737 Vara Badene 2;Kvänum C8c 82/98 121005;5500;5245 5238 6518 6518 98;4 858 99 5;;;;;;;;;;;;
2000;Enercon;1738 Vara Badene 3;Kvänum C8c 82/98 121005;5500;5027 5187 6074 6074 98;5 832 98 6;;;;;;;;;;;;
2000;Enercon;1739 Vara Badene 4;Kvänum C8c 82/98 121101;5500;5120 5263 6289 6289 97;2 762 92 53;;;;;;;;;;;;
2000;Vestas;1740 Bårstad;Borghamn E8f 90/95 120802;5300;4961 6606 6792 6792 99;3;;;;;;;;;;;;
2000;Vestas;1741 Klackeborg Vind 1;Skännin F8d 90/105 101024;5200;5091 5210 6703 6703 99;3 811 94 23;;;;;;;;;;;;
2000;Vestas;1742 Klackeborg Vind 2;Skännin F8d 90/105 101024;5200;4867 5206 6503 6503 99;4 780 93 9;;;;;;;;;;;;
2000;Vestas;1743 Klackeborg Vind 3;Skännin F8d 90/105 101024;5200;5005 5425 6614 6614 99;3 796 93 9;;;;;;;;;;;;
2000;Enercon;1761 Rålanda 2; Dan C;Rålanda B8d 82/108 110404;5200;3215 4713 5355 5355 100 707 96 0;;;;;;;;;;;;
2000;Enercon;1762 Rålanda 3; Dan C;Rålanda B8d 82/108 110404;5200;3337 4974 5539 5539 100 724 97 0;;;;;;;;;;;;
2000;Enercon;1769 Stentjärnåsen 1;Funäsdale C17f 82/98 100804;5600;3732 5147 6507 6507 100 941 99 0;;;;;;;;;;;;;
2000;Enercon;1770 Stentjärnåsen 2;Funäsdale C17f 82/98 100804;5600;4427 5778 7368 7368 100 1076 100 0;;;;;;;;;;;;;
2000;Enercon;1771 Stentjärnåsen 3;Funäsdale C17f 82/98 100804;5600;3624 4918 6126 6126 100 869 92 0;;;;;;;;;;;;;
2000;Enercon;1772 Stentjärnåsen 4;Funäsdale C17f 82/98 100804;5600;4064 5395 6792 6792 100 920 96 0;;;;;;;;;;;;;
2000;Enercon;1773 Stentjärnåsen 5;Funäsdale C17f 82/98 100804;5600;3802 4975 6660 6660 100 970 99 0;;;;;;;;;;;;;
* 2000;Vestas;1789 Knuts Kulle 1;Gymnås D6b 90/105 130615;6100;3043 6262 6826 6826 98;5 893 95 7;;;;;;;;;;;;
* 2000;Vestas;1790 Knuts Kulle 2;Gymnås D6b 90/105 130615;6100;3142 6481 7171 7171 98;8 914 95 6;;;;;;;;;;;;
* 2000;Vestas;1791 Knuts Kulle 3;Gymnås D6b 90/105 130615;6100;2782 5951 6474 6474 99 839 94 7;;;;;;;;;;;;;
2000;Vestas;1792 Öringe 1; ORI 1;Öringe C4e 90/80 110418;5100;1537 5551 4964 4964 99;2;;;;;;;;;;;
2000;Vestas;1793 Öringe 2; ORI 2;Öringe C4e 90/80 110418;5100;1673 5782 5045 5045 99;4;;;;;;;;;;;
2000;Vestas;1794 Öringe 3; ORI 3;Öringe C4e 90/80 110418;5200;1682 5894 5044 5044 99;6;;;;;;;;;;;
2000;Vestas;1808 Örja; OJA A01;Landskrona C2h 90/80 120901;5900;1409 6983 7517 7517 99;4 891 92 0;;;;;;;;;;;
2000;Vestas;1809 Örja; OJA A02;Landskrona C2h 90/80 120904;5800;1272 6446 7074 7074 98;6 833 92 2;;;;;;;;;;;
2000;Vestas;1810 Örja; OJA A03;Landskrona C2h 90/80 120907;5900;1363 6757 7126 7126 98;8 839 92 0;;;;;;;;;;;
2000;Vestas;1811 Vara-Bystorp;Jung C8f 90/95 130922;5700;2397 5950 4597 4597 98;3;;;;;;;;;;;;
2000;Vestas;1812 Lyngby 3; NO;Everöd D2i 90/105 100621;5100;4597 4583 5618 5618 96;6 686 84 61;;;;;;;;;;;
2000;Enercon;1818 Köjen 1-Tagelberg 1;Tagelb C8f 82/108 131001;5400;942 5013 6236 6236 98;9 836 99 6;;;;;;;;;;;;
2000;Enercon;1819 Torkelstorp 2- Tagelberg 2; C8f 82/108 131001;5400;963 5066 6603 6603 98;6 858 95 31;;;;;;;;;;;;
2000;Vestas;1852 Kattorp 1;Kattorp E8f 90/95 131104;5300;4467 6916 6916 99;3;;;;;;;;;;;;
2000;Enercon;1853 Adele;Frillesås B6b 82/98 140601;6000;3337 6766 6766 96;8 902 95 18;;;;;;;;;;;;
2000;Vestas;1880 Skutskär 1; Anders;Skutskä H13f 90/105 091007;6000;2997 6759 6759 100 787 0;;;;;;;;;;;;
2000;Vestas;1881 Skutskär 2; Doris;Skutskär H13f 90/105 091007;6000;2989 6901 6901 100 891 0;;;;;;;;;;;;
2000;Vestas;1882 Skutskär 3; Erik;Skutskär H13f 90/105 091007;6000;3042 7024 7024 100 902 0;;;;;;;;;;;;
2000;Vestas;1883 Skutskär 4; Eva;Skutskär H13f 90/105 091007;6000;3038 6893 6893 100 949 0;;;;;;;;;;;;
2000;Vestas;1884 Skutskär 5; Nisse;Skutskär H13f 90/105 091007;6000;3020 6916 6916 100 900 0;;;;;;;;;;;;
2000;Vestas;1886 Storugns IV verk 11;Lärbro J7b 90/105 140820;6100;662 6758 6758 98;5 806 96 31;;;;;;;;;;;;
2000;Vestas;1887 Storugns IV verk 13;Lärbro J7b 90/105 140820;6100;701 6760 6760 98;4 756 91;;;;;;;;;;;;
2000;Vestas;1913 Lönneborg 1 NV;Sölvesbor E3e 90/105 140919;5600;4436 4436 100 768 95 0;;;;;;;;;;;;;
2000;Vestas;1914 Lönneborg 2 SO;Sölvesbor E3e 90/105 140919;5600;4476 4476 100 801 99 0;;;;;;;;;;;;;
2000;Gamesa;1915 Nötåsen 1;Holm G18c 114/104 141201;7500;4729 4729 100 897 0;;;;;;;;;;;;;
2000;Gamesa;1916 Nötåsen 2;Holm G18c 114/104 141201;7500;4981 4981 100 865 0;;;;;;;;;;;;;
2000;Gamesa;1917 Nötåsen 3;Holm G18c 114/104 141201;7500;4129 4129 100 884 0;;;;;;;;;;;;;
2000;Gamesa;1918 Nötåsen 4;Holm G18c 114/104 141201;7500;4622 4622 100 719 0;;;;;;;;;;;;;
2000;Vestas;1919 Påboda-Ragnabo 1; syd;Sö G4b 90/105 141022;5600;4619 4619 100 825 100 0;;;;;;;;;;;;
2000;Vestas;1920 Påboda-Ragnabo 2; norr;S G4b 90/105 141019;5600;4434 4434 100 679 84 0;;;;;;;;;;;;
2000;Vestas;1921 Ryftes Fredrika;Fole J6h 90/105 120213;5800;3592 6862 6862 98;3 883 95 37;;;;;;;;;;;;
2000;Enercon;1934 Kil 1;Kil A9f 82/98 090820;5000;2955 2955 100 809 95 0;;;;;;;;;;;;;
2000;Enercon;1935 Kil 2;Kil A9f 82/98 090820;5000;3021 3021 100 865 93 0;;;;;;;;;;;;;
2000;Enercon;1936 Kil 3;Kil A9f 82/98 090820;5000;2997 2997 100 796 94 0;;;;;;;;;;;;;
2000;Enercon;1937 Kil 4;Kil A9f 82/98 090820;5000;2889 2889 100 799 95 0;;;;;;;;;;;;;
2000;Vestas;2007 Skalleberg 01;Hjo E8a 90/105 150227;5400;2841 2841 100 725 93 0;;;;;;;;;;;;;
2000;Vestas;2008 Skalleberg 02;Hjo E8a 90/105 150227;5400;3043 3043 100 757 91 0;;;;;;;;;;;;;
2000;Vestas;2009 Skalleberg 03;Hjo E8a 100/95 150227;5800;3047 3047 100 822 96 0;;;;;;;;;;;;;
2000;Vestas;2010 Skalleberg 04;Hjo E8a 100/95 150227;6600;3713 3713 100 941 95 0;;;;;;;;;;;;;
2000;Vestas;2011 Skalleberg 05;Hjo E8a 100/95 150227;6400;3383 3383 100 915 99 0;;;;;;;;;;;;;
2000;Vestas;2014 Skalleberg 08;Hjo E7g 100/95 150227;6700;3439 3439 100 976 99 0;;;;;;;;;;;;;
2000;Vestas;2016 Skalleberg 10;Hjo E7g100/105 150227;7300;3301 3301 100 919 99 0;;;;;;;;;;;;;
2000;Vestas;2017 Ramsnäs 1;Ramsnäs E9e 100/95 140718;5200;3497 3497 100 928 99 0;;;;;;;;;;;;;
2000;Vestas;2018 Ramsnäs 2;Ramsnäs E9h 100/95 140718;5200;3653 3653 100 907 94 0;;;;;;;;;;;;;
2000;Vestas;2019 Ramsnäs 3;Ramsnäs E9e 100/95 140718;5200;3796 3796 100 994 99 0;;;;;;;;;;;;;
2000;Vestas;2020 Ramsnäs 4;Ramsnäs E9e 100/95 140718;5200;3673 3673 100 985 99 0;;;;;;;;;;;;;
2000;Vestas;2036 Hog;Stenungsund B8b 90/80 150620;6000;994 994 99;9;;;;;;;;;;;;
2000 1000;Vestas;477 Boel;Malmö C2e 80/80 010221;5800;4709 5443 6204 6204 100 870 0;;;;;;;;;;;;;
2000 1000;Vestas;683 Lundåkra 1;Landskrona C2g 80/78 030120;5000;4353 4599 6091 6091 100 575 0;;;;;;;;;;;;;
2000 1000;Vestas;684 Lundåkra 2;Landskrona C2g 80/78 030120;5000;4987 5093 6166 6166 100 575 0;;;;;;;;;;;;;
2000 1000;Vestas;973 Byråsen; Marika;Malung D13e 80/78 071222;4000;4288 3641 5127 5127 99;1 769 96 1;;;;;;;;;;;
2000 1000;Vestas;974 Byråsen; Virola;Malung D13e 80/78 071229;4000;3622 3510 4876 4876 97;9 736 95 1;;;;;;;;;;;
2300;Siemens;890 Lillgrund A-01;Offshore C2a 92;4/69 071020;6875;5742 7250 7821 7821 100 996 0;;;;;;;;;;;;
2300;Siemens;891 Lillgrund A-02;Offshore C2a 92;4/69 071020;6875;5684 7593 7574 7574 100 995 0;;;;;;;;;;;;
2300;Siemens;892 Lillgrund A-03;Offshore C2a 92;4/69 071021;6875;5577 7656 7858 7858 100 1020 0;;;;;;;;;;;;
2300;Siemens;893 Lillgrund A-04;Offshore C2a 92;4/69 071022;6875;5667 7882 7898 7898 100 1046 0;;;;;;;;;;;;
2300;Siemens;894 Lillgrund A-05;Offshore C2a 92;4/69 071024;6875;5311 7638 8159 8159 100 1081 0;;;;;;;;;;;;
2300;Siemens;895 Lillgrund A-06;Offshore C2a 92;4/69 071022;6875;5909 8206 8456 8456 100 1086 0;;;;;;;;;;;;
2300;Siemens;896 Lillgrund A-07;Offshore C2a 92;4/69 071022;6875;6506 8696 9227 9227 100 1223 0;;;;;;;;;;;;
2300;Siemens;897 Lillgrund B-01;Offshore C2a 92;4/69 071104;6875;5449 6272 7075 7075 100 961 0;;;;;;;;;;;;
2300;Siemens;898 Lillgrund B-02;Offshore C2a 92;4/69 071104;6875;5125 6807 7279 7279 100 992 0;;;;;;;;;;;;
2300;Siemens;899 Lillgrund B-03;Offshore C2a 92;4/69 071104;6875;5193 6890 6755 6755 100 714 0;;;;;;;;;;;;
2300;Siemens;900 Lillgrund B-04;Offshore C2a 92;4/69 071104;6875;5279 7094 7626 7626 100 1044 0;;;;;;;;;;;;
2300;Siemens;901 Lillgrund B-05;Offshore C2a 92;4/69 071108;6875;4731 7153 4998 4998 100 0 0;;;;;;;;;;;;
2300;Siemens;902 Lillgrund B-06;Offshore C2a 92;4/69 071108;6875;5633 6398 8143 8143 100 1116 0;;;;;;;;;;;;
2300;Siemens;903 Lillgrund B-07;Offshore C2a 92;4/69 071023;6875;5946 7951 8642 8642 100 1178 0;;;;;;;;;;;;
2300;Siemens;904 Lillgrund B-08;Offshore C2a 92;4/69 071020;6875;6605 8832 9081 9081 100 1192 0;;;;;;;;;;;;
2300;Siemens;905 Lillgrund C-01;Offshore C2a 92;4/69 071117;6875;5416 6685 7087 7087 100 972 0;;;;;;;;;;;;
2300;Siemens;906 Lillgrund C-02;Offshore C2a 92;4/69 071120;6875;5133 6289 5541 5541 100;;;;;;;;;;;;
2300;Siemens;907 Lillgrund C-03;Offshore C2a 92;4/69 071120;6875;5090 6417 7261 7261 100 1008 0;;;;;;;;;;;;
2300;Siemens;908 Lillgrund C-04;Offshore C2a 92;4/69 071124;6875;5253 6862 6135 6135 100;;;;;;;;;;;;
2300;Siemens;909 Lillgrund C-05;Offshore C2a 92;4/69 071124;6875;5390 6715 5970 5970 100;;;;;;;;;;;;
2300;Siemens;910 Lillgrund C-06;Offshore C2a 92;4/69 071108;6875;5428 7236 7083 7083 100 1102 0;;;;;;;;;;;;
2300;Siemens;911 Lillgrund C-07;Offshore C2a 92;4/69 071108;6875;5695 7627 8415 8415 100 1764 0;;;;;;;;;;;;
2300;Siemens;912 Lillgrund C-08;Offshore C2a 92;4/69 071115;6875;6421 8327 9219 9219 100 1272 0;;;;;;;;;;;;
2300;Siemens;913 Lillgrund D-01;Offshore C2a 92;4/69 071201;6875;5355 6353 6591 6591 100 734 0;;;;;;;;;;;;
2300;Siemens;914 Lillgrund D-02;Offshore C2a 92;4/69 071201;6875;5063 6383 6830 6830 100 970 0;;;;;;;;;;;;
2300;Siemens;915 Lillgrund D-03;Offshore C2a 92;4/69 071201;6875;4857 6430 7129 7129 100 1018 0;;;;;;;;;;;;
2300;Siemens;916 Lillgrund D-04;Offshore C2a 92;4/69 071201;6875;5312 6915 7636 7636 100 1101 0;;;;;;;;;;;;
2300;Siemens;917 Lillgrund D-06;Offshore C2a 92;4/69 071120;6875;5499 7233 8136 8136 100 1134 0;;;;;;;;;;;;
2300;Siemens;918 Lillgrund D-07;Offshore C2a 92;4/69 071124;6875;5378 7668 7256 7256 100;;;;;;;;;;;;
2300;Siemens;919 Lillgrund D-08;Offshore C2a 92;4/69 071112;6875;6527 8247 9480 9480 100 1272 0;;;;;;;;;;;;
2300;Siemens;920 Lillgrund E-01;Offshore C2a 92;4/69 071004;6875;5576 6908 7542 7542 100 985 0;;;;;;;;;;;;
2300;Siemens;921 Lillgrund E-02;Offshore C2a 92;4/69 071004;6875;5174 6365 7122 7122 100 987 0;;;;;;;;;;;;
2300;Siemens;922 Lillgrund E-03;Offshore C2a 92;4/69 071004;6875;4569 6457 6223 6223 100;;;;;;;;;;;;
2300;Siemens;923 Lillgrund E-04;Offshore C2a 92;4/69 071201;6875;5416 6936 7922 7922 100 1105 0;;;;;;;;;;;;
2300;Siemens;924 Lillgrund E-06;Offshore C2a 92;4/69 071201;6875;5731 7421 8176 8176 100 1183 0;;;;;;;;;;;;
2300;Siemens;925 Lillgrund E-07;Offshore C2a 92;4/69 071128;6875;6251 8086 9030 9030 100 1244 0;;;;;;;;;;;;
2300;Siemens;926 Lillgrund F-02;Offshore C2a 92;4/69 071004;6875;5480 6650 7098 7098 100 852 0;;;;;;;;;;;;
2300;Siemens;927 Lillgrund F-03;Offshore C2a 92;4/69 071006;6875;5302 6540 7378 7378 100 1045 0;;;;;;;;;;;;
2300;Siemens;928 Lillgrund F-04;Offshore C2a 92;4/69 071201;6875;5474 6785 7971 7971 100 1138 0;;;;;;;;;;;;
2300;Siemens;929 Lillgrund F-05;Offshore C2a 92;4/69 071201;6875;5769 7471 8295 8295 100 1181 0;;;;;;;;;;;;
2300;Siemens;930 Lillgrund F-06;Offshore C2a 92;4/69 071201;6875;6354 7980 9124 9124 100 1239 0;;;;;;;;;;;;
2300;Siemens;931 Lillgrund G-02;Offshore C2a 92;4/69 071008;6875;5686 6939 7777 7777 100 1059 0;;;;;;;;;;;;
2300;Siemens;932 Lillgrund G-03;Offshore C2a 92;4/69 071007;6875;5722 6783 7854 7854 100 1092 0;;;;;;;;;;;;
2300;Siemens;933 Lillgrund G-04;Offshore C2a 92;4/69 071201;6875;5784 7124 8295 8295 100 1185 0;;;;;;;;;;;;
2300;Siemens;934 Lillgrund G-05;Offshore C2a 92;4/69 071201;6875;6045 7693 7776 7776 100 622 0;;;;;;;;;;;;
2300;Siemens;935 Lillgrund H-02;Offshore C2a 92;4/69 071005;6875;6356 7568 8424 8424 100 1087 0;;;;;;;;;;;;
2300;Siemens;936 Lillgrund H-03;Offshore C2a 92;4/69 071008;6875;6179 7299 6594 6594 100;;;;;;;;;;;;
2300;Siemens;937 Lillgrund H-04;Offshore C2a 92;4/69 071006;6875;6241 7208 8828 8828 100 1208 0;;;;;;;;;;;;
2300;Enercon;978 Lövstaviken V1;Falkenberg B5c 70/70 070115;5600;5347 2743 6196 6196 97;4 1009 95 16;;;;;;;;;;;;
2300;Enercon;979 Lövstaviken V2;Falkenberg B5c 70/70 070115;5600;4727 5317 6359 6359 97;9 993 97 7;;;;;;;;;;;;
2300;Enercon;980 Lövstaviken V4;Falkenberg B5c 70/70 070115;5600;5306 5942 7246 7246 98;3 1088 98 0;;;;;;;;;;;;
2300;Enercon;981 Lövstaviken V5;Falkenberg B5c 70/70 070115;5600;5084 5638 6518 6518 97;5 925 87 72;;;;;;;;;;;;
2300;Enercon;982 Lövstaviken V6;Falkenberg B5c 70/70 070115;5600;5603 6395 7747 7747 99;5 1120 98 0;;;;;;;;;;;;
2300;Enercon;1017 Näsbyholm 1 Universal Pow D1g 70/64 081215;5200;4477 5138 5467 5467 98;4 773 99 0;;;;;;;;;;;;;
2300;Enercon;1018 Näsbyholm 2 Universal Pow D1g 70/64 081215;5200;4433 5162 5465 5465 97;6 783 99 0;;;;;;;;;;;;;
2300;Enercon;1019 Näsbyholm 3; Näsbyvind I;T D1g 70/64 081215;5200;4446 5061 5546 5546 98;7 772 99 0;;;;;;;;;;;
2300;Enercon;1020 Näsbyholm 4; Näsbyvind II; D1g 70/64 081215;5200;4377 4951 5494 5494 98;6 763 99 0;;;;;;;;;;;
2300;Enercon;1026 Hedeskoga 3;Hedeskoga D1h 70/65 071031;;4728 5035 5410 5410 95;9 796 99 0;;;;;;;;;;;;
2300;Enercon;1027 Hedeskoga 4;Hedeskoga D2b 70/65 071031;;4586 5230 5676 5676 99;3 771 99 0;;;;;;;;;;;;
2300;Enercon;1087 Universal Power Nygårdshu D2g 70/84 090715;4800;4376 4723 5572 5572 94;3 788 99 0;;;;;;;;;;;;;
2300;Enercon;1189 Annevind 3;Annelöv C2h 70/65 100301;4000;4005 4561 5260 5260 98;7 688 99 0;;;;;;;;;;;;
2300;Enercon;1527 Gabrielsberget Syd Vind 1; J20b 82/108 110416;6000;6059 5088 6835 6835 98;6 922 98 0;;;;;;;;;;;;
2300;Enercon;1528 Gabrielsberget Syd Vind 2; J20b 82/108 110416;6000;6072 5573 7007 7007 99;2 937 99 0;;;;;;;;;;;;
2300;Enercon;1529 Gabrielsberget Syd Vind 3; J20b 82/108 110416;6000;5615 5216 6366 6366 99 812 98 4;;;;;;;;;;;;;
2300;Enercon;1530 Gabrielsberget Syd Vind 4; J20b 82/108 110416;6000;5590 4938 6299 6299 98;6 823 95 26;;;;;;;;;;;;
2300;Enercon;1531 Gabrielsberget Syd Vind 5; J20b 82/108 110416;6000;5665 5311 6600 6600 99;2 864 98 5;;;;;;;;;;;;
2300;Enercon;1532 Gabrielsberget Syd Vind 6; J20b 82/108 110416;6000;5891 5416 6725 6725 98;7 877 98 6;;;;;;;;;;;;
2300;Enercon;1533 Gabrielsberget Syd Vind 7; J20b 82/108 110416;6000;5888 5238 6629 6629 99 913 98 3;;;;;;;;;;;;;
2300;Enercon;1534 Gabrielsberget Syd Vind 8; J20b 82/108 110416;6000;5707 5107 6476 6476 98;6 902 98 4;;;;;;;;;;;;
2300;Enercon;1535 Gabrielsberget Syd Vind 9; J20b 82/108 110416;6000;5663 5068 6481 6481 99 896 98 0;;;;;;;;;;;;;
2300;Enercon;1536 Gabrielsberget Syd Vind 10; J20b 82/108 110416;6000;5523 4996 6498 6498 99;1 855 96 21;;;;;;;;;;;;
2300;Enercon;1537 Gabrielsberget Syd Vind 11; J20b 82/108 110416;6000;5645 5063 6498 6498 98;4 904 98 0;;;;;;;;;;;;
2300;Enercon;1538 Gabrielsberget Syd Vind 12; J20b 82/108 110416;6000;5656 5150 6507 6507 99;3 895 99 1;;;;;;;;;;;;
2300;Enercon;1539 Gabrielsberget Syd Vind 13; J20b 82/108 110416;6000;6053 5426 6969 6969 98;9 986 99 1;;;;;;;;;;;;
2300;Enercon;1540 Gabrielsberget Syd Vind 14; J20b 82/108 110416;6000;5538 5159 6307 6307 98;7 852 98 0;;;;;;;;;;;;
2300;Enercon;1541 Gabrielsberget Syd Vind 15; J20b 82/108 110416;6000;5680 5179 6530 6530 99;2 855 98 3;;;;;;;;;;;;
2300;Enercon;1542 Gabrielsberget Syd Vind 16; J20b 82/108 110416;6000;5482 5197 6145 6145 99 768 97 14;;;;;;;;;;;;;
2300;Enercon;1543 Gabrielsberget Syd Vind 17; J20b 82/108 110416;6000;5408 4877 5938 5938 97;7 818 98 0;;;;;;;;;;;;
2300;Enercon;1544 Gabrielsberget Syd Vind 18; J20b 82/108 110416;6000;5058 4854 6171 6171 99;2 784 98 0;;;;;;;;;;;;
2300;Enercon;1545 Gabrielsberget Syd Vind 19; J20b 82/108 110416;6000;5319 4905 6121 6121 99;4 782 99 0;;;;;;;;;;;;
2300;Enercon;1546 Gabrielsberget Syd Vind 20; J20b 82/108 110416;6000;5371 4916 6089 6089 99;3 765 98 2;;;;;;;;;;;;
2300;Siemens;1565 Kyrkberget; T2;Kyrkberget D14b 101/80 110314;7300;6790 4902 7602 7602 100 1149 94 0;;;;;;;;;;;;
2300;Siemens;1566 Kyrkberget; T3;Kyrkberget D14b 101/80 110314;7300;6633 5102 7605 7605 100 1149 94 0;;;;;;;;;;;;
2300;Siemens;1567 Kyrkberget; T4;Kyrkberget D14b 101/80 110314;7300;6262 4669 6971 6971 98;8 1105 95 0;;;;;;;;;;;
2300;Siemens;1568 Kyrkberget; T5;Kyrkberget D14b 101/80 110314;7300;5185 4360 6952 6952 100 1010 96 0;;;;;;;;;;;;
2300;Siemens;1569 Kyrkberget; T6;Kyrkberget D14b 101/80 110314;7300;6420 4809 7473 7473 100 1052 94 0;;;;;;;;;;;;
2300;Siemens;1570 Kyrkberget; T7;Kyrkberget D14b 101/80 110314;7300;7687 5712 8854 8854 100 1249 97 0;;;;;;;;;;;;
2300;Siemens;1571 Kyrkberget; T8;Kyrkberget D14b 101/80 110314;7300;7437 5970 8913 8913 100 1225 95 0;;;;;;;;;;;;
2300;Siemens;1572 Kyrkberget; T9;Kyrkberget D14b 101/80 110314;7300;7239 5338 8234 8234 100 1166 94 0;;;;;;;;;;;;
2300;Siemens;1573 Kyrkberget; T10;Kyrkberget D14b 101/80 110314;7300;6966 5061 7827 7827 100 1065 92 0;;;;;;;;;;;;
2300;Siemens;1574 Kyrkberget; T11;Kyrkberget D14b 101/80 110314;7300;7405 5113 8346 8346 100 1197 95 0;;;;;;;;;;;;
2300;Enercon;1604 LMK 01; Svedala;Svedala C2c 82/78 101005;5500;6534 7442 8269 8269 98;4 1109 99 0;;;;;;;;;;;
2300;Enercon;1763 Vettåsen 1; Thomas Dahl;U G13i 82/108 120209;6250;4238 5424 7296 7296 100 1127 99 0;;;;;;;;;;;;
2300;Enercon;1764 Vettåsen 2; Thomas Dahl;U G13i 82/108 120209;6250;3915 4700 6650 6650 100 1042 99 0;;;;;;;;;;;;
2300;Enercon;1765 Vettåsen 3; Thomas Dahl;U G13i 82/108 120209;6250;3660 4763 6183 6183 100 951 99 0;;;;;;;;;;;;
2300;Enercon;1766 Vettåsen 4; Thomas Dahl;D G13i 82/108 120217;6250;3281 4868 6281 6281 100 953 99 0;;;;;;;;;;;;
2300;Enercon;1767 Vettåsen 5; Thomas Dahl;K G13i 82/108 120221;6250;3517 5032 6487 6487 100 936 97 0;;;;;;;;;;;;
2300;Enercon;1768 Vettåsen 6; Thomas Dahl;J G13i 82/108 120224;6250;3288 4666 6058 6058 100 926 99 0;;;;;;;;;;;;
2300;Enercon;1774 Rätan-Digerberget 1;Rätan E17i 82/98 110224;5400;3415 4702 5975 5975 100 812 99 0;;;;;;;;;;;;;
2300;Enercon;1775 Rätan-Digerberget 2;Rätan E17i 82/98 110224;5400;3685 5149 6388 6388 100 825 99 0;;;;;;;;;;;;;
